permit_id,application_date,province,mining_type,mineral_type,company_size,project_area,estimated_duration,distance_to_water,distance_to_protected_area,distance_to_indigenous_land,expected_employment,environmental_assessment_score,public_comments_received,public_opposition_percentage,company_compliance_history,previous_permits,approval_time_months,approval_confidence,approval_probability,decision_date
NRCAN-A1849,2024-12-07,British Columbia,Underground,Au,Medium,2805.45,23,17.84,58.42,8.85,179,7.25,800,97.61,8.11,16,20.5,Medium,0.7,2026-08-14
NRCAN-A185,2022-01-20,British Columbia,Underground,"Ag,Pb,Zn",Medium,699.67,7,41.07,63.12,71.38,168,6.06,692,13.63,9.43,14,6.8,Medium,0.75,2022-08-12
NRCAN-A1850,2021-09-13,British Columbia,Underground,Au,Large,4578.81,10,3.57,87.6,71.96,239,6.22,3,8.33,3.77,13,15.1,Medium,0.7,2022-12-10
NRCAN-A1852,2025-05-28,British Columbia,Underground,Au,Major,724.17,7,38.25,38.83,86.26,222,5.26,769,43.06,7.15,2,10.4,Medium,0.75,2026-04-05
NRCAN-A1828,2020-09-21,British Columbia,Open-pit,Au,Small,3646.66,20,26.56,56.17,16.82,315,4.51,780,0.76,9.14,10,10.7,High,0.8,2021-08-08
NRCAN-A1879,2025-03-13,British Columbia,Open-pit,Au,Large,2906.83,12,10.46,51.87,61.62,223,7.55,881,64.85,4.16,9,19.2,Medium,0.65,2026-10-10
NRCAN-A1880,2025-11-08,British Columbia,Open-pit,De,Major,2753.21,19,47.64,57.91,69.21,189,6.81,777,10.26,8.03,1,18.1,Medium,0.7,2027-05-05
NRCAN-A1907,2025-11-01,British Columbia,Open-pit,"Au,Ag,Cu",Small,1958.68,24,0.47,65.1,64.49,165,7.93,602,29.52,8.09,10,15.4,Medium,0.7,2027-02-06
NRCAN-A1908,2023-09-28,British Columbia,Underground,"Au,Ag,Zn",Large,3727.17,24,41.94,17.73,35.04,250,4.13,18,98.3,3.15,5,23.3,Low,0.5,2025-08-27
NRCAN-A1909,2022-11-09,British Columbia,Open-pit,"Cu,Ag,Au",Major,4743.15,25,17.57,50.05,131.27,300,6.47,850,83.45,7.89,12,18.8,Medium,0.65,2024-05-26
NRCAN-A191,2022-01-27,British Columbia,Open-pit,Ls,Large,1538.37,14,20.04,79.3,104.11,100,1.43,628,7.85,10.0,17,16.9,Medium,0.6,2023-06-17
NRCAN-A1910,2025-04-01,British Columbia,Open-pit,"Au,Cu,Zn",Small,456.88,28,39.14,77.47,56.48,74,3.98,628,74.84,6.82,13,25.6,Low,0.35,2027-05-09
NRCAN-A1911,2021-12-01,British Columbia,Underground,Ls,Large,1169.17,16,9.44,89.88,141.82,88,7.04,275,56.39,6.36,13,22.5,Medium,0.6,2023-10-07
NRCAN-A1912,2024-05-06,British Columbia,Open-pit,Au,Medium,1118.24,10,0.6,90.08,58.34,67,8.78,412,22.85,4.94,4,14.8,Medium,0.55,2025-07-24
NRCAN-A1913,2022-01-16,British Columbia,Open-pit,"Ag,Pb,Zn",Small,3711.83,7,45.45,26.15,86.17,249,9.34,628,74.66,3.3,11,20.1,Medium,0.65,2023-09-11
NRCAN-A1914,2023-11-25,British Columbia,Open-pit,"Au,Ag",Major,318.67,16,25.32,72.17,76.78,92,4.98,962,3.02,5.78,2,13.6,Medium,0.6,2025-01-06
NRCAN-A1915,2022-05-02,British Columbia,Open-pit,Au,Small,264.16,4,17.54,65.13,18.29,199,6.83,277,73.15,6.38,10,18.2,Medium,0.5,2023-10-30
NRCAN-A1916,2020-10-03,British Columbia,Open-pit,"Au,Pt",Major,3471.11,12,40.97,88.58,63.57,372,5.09,695,89.53,2.77,0,20.3,Low,0.5,2022-06-04
NRCAN-A1917,2021-03-02,British Columbia,Open-pit,Au,Medium,2788.03,12,1.41,18.35,11.63,259,4.27,469,88.26,4.86,15,20.7,Medium,0.55,2022-11-13
NRCAN-A1918,2020-09-13,British Columbia,Open-pit,Ls,Large,2094.66,2,10.19,73.98,25.58,285,10.0,476,77.23,4.47,6,15.8,Medium,0.65,2021-12-31
NRCAN-A1919,2022-03-09,British Columbia,Underground,"Ls,At,Au",Large,2881.09,6,7.85,42.33,118.13,271,3.74,534,93.47,8.48,2,22.2,Low,0.45,2024-01-04
NRCAN-A192,2022-10-29,British Columbia,Open-pit,"Ag,Au,Pb",Medium,3678.89,20,36.92,39.45,45.4,288,4.89,935,70.73,7.35,2,19.6,Medium,0.6,2024-06-08
NRCAN-A1920,2022-03-09,British Columbia,Open-pit,Cy,Large,526.32,15,15.67,3.58,13.34,44,7.83,374,68.67,6.0,16,17.9,Low,0.4,2023-08-28
NRCAN-A1921,2025-07-22,British Columbia,Open-pit,"De,Cy",Major,2770.9,15,38.67,96.15,107.84,157,1.61,729,2.62,7.02,17,15.7,Medium,0.6,2026-11-05
NRCAN-A1922,2025-03-04,British Columbia,Open-pit,Au,Large,4123.84,22,2.17,67.58,120.36,222,3.52,942,17.42,6.07,14,24.1,Medium,0.55,2027-02-25
NRCAN-A1923,2024-10-23,British Columbia,Underground,Ls,Large,1818.52,16,30.44,59.07,86.71,129,4.3,628,78.14,9.52,5,17.0,Medium,0.55,2026-03-17
NRCAN-A1924,2025-11-03,British Columbia,Open-pit,Au,Major,3817.46,24,15.98,25.12,137.34,215,4.82,702,99.75,6.96,2,20.2,Low,0.5,2027-07-02
NRCAN-A1925,2024-08-08,British Columbia,Open-pit,Au,Medium,4228.65,3,9.43,65.84,127.42,258,6.9,853,71.99,6.17,15,18.6,Medium,0.55,2026-02-17
NRCAN-A1926,2022-10-29,British Columbia,Underground,Au,Small,4106.44,1,40.86,94.56,82.91,313,5.56,933,57.98,4.8,8,19.1,Medium,0.55,2024-05-24
NRCAN-A1927,2025-04-16,British Columbia,Open-pit,Au,Small,3255.28,21,20.67,16.33,110.55,268,4.83,648,18.34,8.27,2,12.0,Medium,0.75,2026-04-11
NRCAN-A1928,2023-05-25,British Columbia,Open-pit,Au,Large,3589.55,12,28.62,98.38,49.39,254,4.02,980,94.79,0.75,19,17.9,Medium,0.55,2024-11-12
NRCAN-A1929,2021-12-27,British Columbia,Open-pit,Au,Major,3940.5,15,1.75,42.74,95.44,333,4.81,611,64.97,3.77,16,19.0,Medium,0.55,2023-07-20
NRCAN-A1906,2020-08-02,British Columbia,Open-pit,"Au,Ag,Zn",Large,4010.17,27,27.72,71.69,35.27,262,6.76,265,26.29,5.5,2,14.9,Medium,0.65,2021-10-23
NRCAN-A188,2020-09-08,British Columbia,Open-pit,"Cu,Au,Ag",Medium,2298.62,19,33.31,88.75,67.76,277,8.75,915,58.75,6.0,10,20.2,Medium,0.65,2022-05-07
NRCAN-A1905,2024-02-14,British Columbia,Underground,"Mo,Ur",Medium,156.54,11,33.81,68.59,59.32,106,7.52,348,9.27,5.73,0,8.9,Medium,0.7,2024-11-07
NRCAN-A1903,2024-12-28,British Columbia,Open-pit,"Mo,Cu",Large,2860.66,14,26.85,96.35,55.09,336,4.84,627,43.13,5.75,11,13.3,Medium,0.7,2026-01-31
NRCAN-A1881,2025-03-30,British Columbia,Underground,Cl,Large,1886.78,29,44.84,37.68,126.32,215,3.7,569,7.08,8.87,14,17.1,Medium,0.65,2026-08-25
NRCAN-A1882,2023-09-01,British Columbia,Open-pit,De,Small,646.78,11,22.22,53.9,64.6,190,2.37,796,24.96,6.25,0,15.3,Low,0.45,2024-12-03
NRCAN-A1883,2021-01-06,British Columbia,Underground,Cy,Large,3831.74,13,31.92,15.19,132.35,244,7.07,643,83.34,4.69,14,20.5,Medium,0.65,2022-09-13
NRCAN-A1884,2020-05-23,British Columbia,Open-pit,Sh,Major,4640.28,24,26.5,67.48,104.28,318,4.32,478,6.37,6.32,12,14.8,Medium,0.7,2021-08-10
NRCAN-A1885,2020-07-09,British Columbia,Underground,"Cu,Mo",Large,4750.84,1,17.4,98.21,144.81,421,3.47,205,46.04,4.18,8,20.2,Medium,0.55,2022-03-07
NRCAN-A1886,2020-07-06,British Columbia,Open-pit,De,Major,3356.85,6,7.31,24.74,101.18,245,6.13,388,17.9,7.16,19,12.6,High,0.8,2021-07-19
NRCAN-A1887,2024-03-31,British Columbia,Underground,Au,Medium,2057.63,22,40.19,32.32,61.83,227,4.84,37,25.36,5.07,16,15.2,Medium,0.7,2025-06-30
NRCAN-A1888,2025-07-17,British Columbia,Underground,"Fe,Ma",Major,2397.02,25,4.61,40.61,137.7,212,5.4,579,76.99,3.4,9,20.4,Medium,0.55,2027-03-21
NRCAN-A1889,2021-03-26,British Columbia,Open-pit,Ls,Large,3288.26,16,30.52,48.35,34.47,341,5.14,202,85.06,7.58,0,20.3,Medium,0.6,2022-11-25
NRCAN-A189,2023-05-07,British Columbia,Underground,"Ag,Au,Cu",Large,4117.13,2,29.76,71.91,144.74,296,8.29,373,58.03,4.86,8,16.4,Medium,0.65,2024-09-09
NRCAN-A1890,2022-10-10,British Columbia,Open-pit,"Zn,Ag,Pb",Medium,1879.09,14,16.81,13.67,6.51,172,7.35,472,86.32,3.84,18,17.6,Medium,0.6,2024-03-21
NRCAN-A1891,2025-04-30,British Columbia,Open-pit,"Cu,Mo,Pb",Major,4584.74,24,6.86,30.25,96.14,272,3.96,523,85.69,7.15,5,27.9,Low,0.45,2027-08-15
NRCAN-A1892,2022-08-08,British Columbia,Underground,"Zn,Pb,Cu",Large,1628.12,23,40.0,53.87,2.74,157,5.34,51,22.15,3.76,19,23.6,Medium,0.55,2024-07-16
NRCAN-A1893,2023-06-23,British Columbia,Underground,"Au,Ag,Cu",Major,2658.99,18,23.15,58.96,30.6,270,6.29,350,64.5,4.03,18,18.7,Medium,0.55,2025-01-04
NRCAN-A1894,2025-08-12,British Columbia,Open-pit,"Au,Ag,Wo",Medium,4807.2,17,36.29,53.66,69.6,283,4.01,842,77.83,4.38,11,22.3,Medium,0.55,2027-06-12
NRCAN-A1895,2021-03-06,British Columbia,Open-pit,"Mo,Cu,Pb",Small,4691.61,20,0.92,43.55,23.74,378,7.72,742,56.11,8.87,10,23.3,Medium,0.6,2023-02-03
NRCAN-A1896,2025-07-11,British Columbia,Underground,"Ag,Au,Pb",Medium,3481.77,18,3.82,71.15,148.32,186,3.03,991,80.58,5.86,13,26.1,Low,0.35,2027-09-02
NRCAN-A1897,2025-06-20,British Columbia,Underground,"Au,Ag,Zn",Medium,1629.56,19,8.87,20.45,115.95,161,6.92,842,62.88,7.42,11,14.1,Medium,0.6,2026-08-17
NRCAN-A1898,2023-02-20,British Columbia,Underground,"Ag,Pb,Zn",Large,1102.98,15,5.78,28.27,127.63,153,7.21,70,28.45,8.39,12,11.4,High,0.85,2024-01-28
NRCAN-A1899,2025-07-27,British Columbia,Underground,"Cu,Mo,Ag",Large,409.92,2,9.67,44.45,146.86,48,6.45,887,68.56,5.95,6,20.6,Medium,0.5,2027-04-06
NRCAN-A19,2023-06-07,British Columbia,Open-pit,"Au,Ag,Cu",Large,3546.19,25,34.36,69.55,101.22,317,8.89,833,58.8,6.59,2,22.6,Medium,0.6,2025-04-15
NRCAN-A190,2024-09-08,British Columbia,Underground,"Pb,Zn,Au",Major,2522.22,4,2.45,8.24,39.99,155,2.82,320,62.5,7.66,6,27.5,Low,0.25,2026-12-12
NRCAN-A1900,2022-03-22,British Columbia,Open-pit,"Cu,Mo,Ag",Small,2865.72,1,1.99,11.57,113.54,170,4.9,600,9.53,6.67,15,10.1,Medium,0.65,2023-01-19
NRCAN-A1901,2020-09-01,British Columbia,Open-pit,"Ag,Pb,Zn",Medium,2367.24,8,1.68,78.24,87.65,198,2.24,840,12.57,6.09,0,19.5,Low,0.45,2022-04-09
NRCAN-A1902,2020-05-25,British Columbia,Open-pit,"Cu,Au,Ag",Major,2419.9,20,34.91,26.1,40.12,271,6.16,45,81.47,6.89,14,22.3,Medium,0.55,2022-03-25
NRCAN-A1904,2020-06-02,British Columbia,Open-pit,"Mo,Cu",Large,4572.17,26,18.58,96.14,91.18,386,10.0,867,21.53,5.16,10,17.1,High,0.8,2021-10-28
NRCAN-A1827,2022-05-30,British Columbia,Open-pit,Au,Large,2581.72,8,7.16,21.88,96.95,236,4.93,384,84.84,6.52,8,18.7,Medium,0.55,2023-12-12
NRCAN-A1826,2020-08-10,British Columbia,Underground,Au,Small,1172.19,6,21.44,73.21,16.25,189,1.0,278,42.76,6.11,13,19.9,Medium,0.5,2022-03-30
NRCAN-A1825,2022-04-23,British Columbia,Open-pit,Au,Medium,3751.07,23,30.16,14.32,71.62,368,5.64,329,36.83,5.94,4,17.6,Medium,0.65,2023-10-03
NRCAN-A175,2024-06-12,British Columbia,Open-pit,"Ag,Au,Pb",Large,2568.68,10,6.74,32.82,145.51,303,4.88,305,30.99,6.9,10,14.4,Medium,0.7,2025-08-18
NRCAN-A1750,2022-10-14,British Columbia,Open-pit,"Cu,Au,Mo",Medium,2761.82,15,36.82,31.5,82.77,161,4.69,981,63.65,9.98,13,14.1,Medium,0.6,2023-12-11
NRCAN-A1751,2024-10-09,British Columbia,Open-pit,"Zn,Cu,Pb",Medium,2077.42,21,26.83,42.3,144.6,210,6.57,10,71.44,5.88,8,19.1,Medium,0.55,2026-05-05
NRCAN-A1752,2021-09-19,British Columbia,Open-pit,"Au,Ag,Cu",Major,746.91,7,45.04,74.5,117.61,85,2.42,449,63.78,8.23,1,22.1,Low,0.4,2023-07-14
NRCAN-A1753,2025-10-02,British Columbia,Open-pit,"Au,Ag,Pb",Major,1523.59,28,36.59,87.33,129.89,157,7.58,149,75.54,6.54,5,21.5,Medium,0.55,2027-07-09
NRCAN-A1754,2022-04-25,British Columbia,Open-pit,"Cu,Au,Mo",Large,1242.45,6,33.06,32.4,48.58,204,10.0,360,27.92,4.83,16,14.9,High,0.8,2023-07-16
NRCAN-A1755,2023-06-07,British Columbia,Open-pit,Ls,Major,4008.09,25,44.36,11.87,32.92,229,5.82,574,50.78,4.17,2,22.1,Low,0.5,2025-03-31
NRCAN-A1756,2023-09-05,British Columbia,Open-pit,"Ls,Mb,Bs",Medium,2733.62,12,45.42,25.61,93.61,154,5.04,114,54.87,7.88,4,11.9,Medium,0.55,2024-08-27
NRCAN-A1757,2025-06-06,British Columbia,Underground,Ls,Medium,1488.01,3,19.31,8.43,56.15,164,7.61,718,8.99,7.85,15,18.6,Medium,0.65,2026-12-16
NRCAN-A1758,2022-11-07,British Columbia,Open-pit,Ls,Medium,2450.57,16,46.4,63.03,147.88,184,3.36,647,17.65,6.62,3,24.6,Low,0.45,2024-11-14
NRCAN-A1759,2023-06-10,British Columbia,Underground,Ls,Major,1102.14,20,2.83,74.07,74.32,202,7.96,594,30.66,6.94,3,19.7,Medium,0.75,2025-01-21
NRCAN-A176,2020-11-12,British Columbia,Open-pit,"Ag,Au,Pb",Medium,933.78,9,38.15,42.93,16.57,69,3.64,584,4.78,10.0,2,15.9,Medium,0.55,2022-03-04
NRCAN-A1760,2022-09-13,British Columbia,Open-pit,"Ma,Fe,Cu",Major,4301.11,10,16.89,95.28,74.82,408,10.0,580,23.36,9.59,19,7.4,High,0.9,2023-04-23
NRCAN-A1761,2021-03-05,British Columbia,Open-pit,"Cu,Ma,Fe",Medium,4724.61,13,24.42,72.75,80.26,364,1.7,839,52.22,3.92,12,23.6,Low,0.4,2023-02-11
NRCAN-A1762,2023-03-12,British Columbia,Open-pit,"Mb,Ds,Bs",Large,409.27,8,41.8,37.97,0.71,125,4.12,736,54.17,3.39,14,25.9,Low,0.4,2025-04-27
NRCAN-A1763,2022-10-29,British Columbia,Underground,"Pl,Ai,Si",Medium,3826.76,26,31.89,10.22,36.82,279,6.32,112,24.94,7.88,16,14.3,High,0.8,2024-01-01
NRCAN-A1764,2022-12-30,British Columbia,Underground,"Gr,Ds,Bs",Medium,2272.02,6,22.93,49.37,0.2,265,6.94,14,94.65,3.37,10,29.8,Low,0.45,2025-06-11
NRCAN-A1765,2021-10-19,British Columbia,Underground,Ls,Large,1950.97,28,8.28,50.38,84.15,175,4.51,910,46.72,7.32,5,17.5,Medium,0.7,2023-03-28
NRCAN-A1766,2021-07-31,British Columbia,Underground,Cy,Large,3450.16,3,46.97,55.06,43.82,330,8.03,360,63.73,8.58,9,13.8,Medium,0.75,2022-09-18
NRCAN-A1767,2021-02-13,British Columbia,Underground,"Ls,Do",Major,1338.61,12,16.69,68.24,25.98,211,3.37,774,3.04,5.04,0,19.5,Low,0.5,2022-09-21
NRCAN-A1768,2023-07-15,British Columbia,Open-pit,"Fe,Ma,Ti",Large,112.7,9,5.15,26.44,125.79,120,3.31,212,39.92,6.41,5,16.0,Low,0.45,2024-11-06
NRCAN-A1769,2022-01-04,British Columbia,Open-pit,Ls,Large,1077.87,9,28.25,0.25,4.5,232,2.87,109,54.21,7.78,18,36.0,Low,0.2,2024-12-19
NRCAN-A177,2023-10-24,British Columbia,Underground,"Ag,Au,Pb",Major,932.78,11,20.37,81.28,103.76,122,5.92,409,31.23,5.57,12,7.8,Medium,0.65,2024-06-14
NRCAN-A1770,2021-11-07,British Columbia,Underground,Ls,Large,179.91,6,29.57,82.35,85.95,29,5.22,320,17.14,8.33,6,8.3,Medium,0.75,2022-07-14
NRCAN-A1771,2021-05-27,British Columbia,Open-pit,"Ro,Gs",Large,1613.36,2,11.75,91.16,115.73,162,3.07,946,20.11,6.01,12,20.6,Medium,0.5,2023-02-04
NRCAN-A1749,2022-04-11,British Columbia,Underground,"Ls,Mb,Bs",Medium,4998.87,13,42.01,99.45,40.82,339,3.15,657,54.76,1.94,13,24.2,Low,0.4,2024-04-06
NRCAN-A1772,2023-02-25,British Columbia,Underground,Cy,Medium,2377.85,7,19.0,96.9,19.84,295,5.84,857,46.66,7.39,3,16.7,Medium,0.75,2024-07-10
NRCAN-A1748,2023-11-03,British Columbia,Open-pit,"Au,Ag,Pb",Major,3167.98,23,19.76,21.48,140.04,298,6.96,953,75.29,5.57,2,22.9,Low,0.5,2025-09-20
